type,name,url
emote,SoonerLater,https://static-cdn.jtvnw.net/emoticons/v2/2113050/static/dark/3.0
emote,RedCoat,https://static-cdn.jtvnw.net/emoticons/v2/22/static/dark/3.0
emote,BabyRage,https://static-cdn.jtvnw.net/emoticons/v2/22639/static/dark/3.0
emote,panicBasket,https://static-cdn.jtvnw.net/emoticons/v2/22998/static/dark/3.0
emote,FUNgineer,https://static-cdn.jtvnw.net/emoticons/v2/244/static/dark/3.0
emote,ResidentSleeper,https://static-cdn.jtvnw.net/emoticons/v2/245/static/dark/3.0
emote,Kappa,https://static-cdn.jtvnw.net/emoticons/v2/25/static/dark/3.0
emote,JonCarnage,https://static-cdn.jtvnw.net/emoticons/v2/26/static/dark/3.0
emote,PermaSmug,https://static-cdn.jtvnw.net/emoticons/v2/27509/static/dark/3.0
emote,BuddhaBar,https://static-cdn.jtvnw.net/emoticons/v2/27602/static/dark/3.0
emote,MrDestructoid,https://static-cdn.jtvnw.net/emoticons/v2/28/static/dark/3.0
emote,WutFace,https://static-cdn.jtvnw.net/emoticons/v2/28087/static/dark/3.0
emote,PRChase,https://static-cdn.jtvnw.net/emoticons/v2/28328/static/dark/3.0
emote,BCWarrior,https://static-cdn.jtvnw.net/emoticons/v2/30/static/dark/3.0
emote,TwitchSings,https://static-cdn.jtvnw.net/emoticons/v2/300116344/static/dark/3.0
emote,SingsMic,https://static-cdn.jtvnw.net/emoticons/v2/300116349/static/dark/3.0
emote,SingsNote,https://static-cdn.jtvnw.net/emoticons/v2/300116350/static/dark/3.0
emote,Mau5,https://static-cdn.jtvnw.net/emoticons/v2/30134/static/dark/3.0
emote,BOP,https://static-cdn.jtvnw.net/emoticons/v2/301428702/static/dark/3.0
emote,VirtualHug,https://static-cdn.jtvnw.net/emoticons/v2/301696583/static/dark/3.0
emote,ExtraLife,https://static-cdn.jtvnw.net/emoticons/v2/302426269/static/dark/3.0
emote,BlackLivesMatter,https://static-cdn.jtvnw.net/emoticons/v2/302537250/static/dark/3.0
emote,HeyGuys,https://static-cdn.jtvnw.net/emoticons/v2/30259/static/dark/3.0
emote,FootBall,https://static-cdn.jtvnw.net/emoticons/v2/302628600/static/dark/3.0
emote,FootYellow,https://static-cdn.jtvnw.net/emoticons/v2/302628613/static/dark/3.0
emote,FootGoal,https://static-cdn.jtvnw.net/emoticons/v2/302628617/static/dark/3.0
emote,GlitchCat,https://static-cdn.jtvnw.net/emoticons/v2/304486301/static/dark/3.0
emote,StinkyGlitch,https://static-cdn.jtvnw.net/emoticons/v2/304486324/static/dark/3.0
emote,GlitchLit,https://static-cdn.jtvnw.net/emoticons/v2/304489128/static/dark/3.0
emote,GlitchNRG,https://static-cdn.jtvnw.net/emoticons/v2/304489309/static/dark/3.0
emote,PogChamp,https://static-cdn.jtvnw.net/emoticons/v2/305954156/static/dark/3.0
emote,AsexualPride,https://static-cdn.jtvnw.net/emoticons/v2/307827267/static/dark/3.0
emote,BisexualPride,https://static-cdn.jtvnw.net/emoticons/v2/307827313/static/dark/3.0
emote,GayPride,https://static-cdn.jtvnw.net/emoticons/v2/307827321/static/dark/3.0
emote,GenderFluidPride,https://static-cdn.jtvnw.net/emoticons/v2/307827326/static/dark/3.0
emote,IntersexPride,https://static-cdn.jtvnw.net/emoticons/v2/307827332/static/dark/3.0
emote,LesbianPride,https://static-cdn.jtvnw.net/emoticons/v2/307827340/static/dark/3.0
emote,NonbinaryPride,https://static-cdn.jtvnw.net/emoticons/v2/307827356/static/dark/3.0
emote,PansexualPride,https://static-cdn.jtvnw.net/emoticons/v2/307827370/static/dark/3.0
emote,TransgenderPride,https://static-cdn.jtvnw.net/emoticons/v2/307827377/static/dark/3.0
emote,GingerPower,https://static-cdn.jtvnw.net/emoticons/v2/32/static/dark/3.0
emote,TPcrunchyroll,https://static-cdn.jtvnw.net/emoticons/v2/323914/static/dark/3.0
emote,DansGame,https://static-cdn.jtvnw.net/emoticons/v2/33/static/dark/3.0
emote,SwiftRage,https://static-cdn.jtvnw.net/emoticons/v2/34/static/dark/3.0
emote,PeoplesChamp,https://static-cdn.jtvnw.net/emoticons/v2/3412/static/dark/3.0
emote,NotATK,https://static-cdn.jtvnw.net/emoticons/v2/34875/static/dark/3.0
emote,mcaT,https://static-cdn.jtvnw.net/emoticons/v2/35063/static/dark/3.0
emote,4Head,https://static-cdn.jtvnw.net/emoticons/v2/354/static/dark/3.0
emote,HotPokket,https://static-cdn.jtvnw.net/emoticons/v2/357/static/dark/3.0
emote,PJSalt,https://static-cdn.jtvnw.net/emoticons/v2/36/static/dark/3.0
emote,FailFish,https://static-cdn.jtvnw.net/emoticons/v2/360/static/dark/3.0
emote,GrammarKing,https://static-cdn.jtvnw.net/emoticons/v2/3632/static/dark/3.0
emote,PanicVis,https://static-cdn.jtvnw.net/emoticons/v2/3668/static/dark/3.0
emote,EntropyWins,https://static-cdn.jtvnw.net/emoticons/v2/376765/static/dark/3.0
emote,ANELE,https://static-cdn.jtvnw.net/emoticons/v2/3792/static/dark/3.0
emote,TTours,https://static-cdn.jtvnw.net/emoticons/v2/38436/static/dark/3.0
emote,PraiseIt,https://static-cdn.jtvnw.net/emoticons/v2/38586/static/dark/3.0
emote,>(,https://static-cdn.jtvnw.net/emoticons/v2/4/static/dark/3.0
emote,KevinTurtle,https://static-cdn.jtvnw.net/emoticons/v2/40/static/dark/3.0
